date,reason,moved
2024-01-01,netBenefitBps (2) < gateMinNetBenefitBps (10),357619429097
2024-01-22,netBenefitBps (-6) < gateMinNetBenefitBps (10),48989677531
2024-01-25,netBenefitBps (-6) < gateMinNetBenefitBps (10),68564189245
2024-01-26,netBenefitBps (-7) < gateMinNetBenefitBps (10),39463750748
2024-02-05,netBenefitBps (-7) < gateMinNetBenefitBps (10),24332778583
2024-02-06,netBenefitBps (-4) < gateMinNetBenefitBps (10),48341006923
2024-02-10,netBenefitBps (-5) < gateMinNetBenefitBps (10),243298486200
2024-02-11,netBenefitBps (-2) < gateMinNetBenefitBps (10),123526368844
2024-02-12,netBenefitBps (-5) < gateMinNetBenefitBps (10),251974456883
2024-02-13,netBenefitBps (4) < gateMinNetBenefitBps (10),170742410938
2024-02-14,netBenefitBps (-2) < gateMinNetBenefitBps (10),134046937621
2024-02-15,netBenefitBps (-5) < gateMinNetBenefitBps (10),152244596823
2024-02-16,netBenefitBps (-5) < gateMinNetBenefitBps (10),151821667191
2024-02-17,netBenefitBps (-2) < gateMinNetBenefitBps (10),138374987399
2024-02-19,netBenefitBps (-5) < gateMinNetBenefitBps (10),76244660697
2024-02-21,netBenefitBps (1) < gateMinNetBenefitBps (10),87709253084
2024-02-24,netBenefitBps (-6) < gateMinNetBenefitBps (10),65168256545
2024-02-26,netBenefitBps (-2) < gateMinNetBenefitBps (10),95143818253
2024-07-04,netBenefitBps (-5) < gateMinNetBenefitBps (10),48738465346
2024-07-05,netBenefitBps (-6) < gateMinNetBenefitBps (10),41692139882
2024-08-07,netBenefitBps (-4) < gateMinNetBenefitBps (10),50450927474
2024-08-08,netBenefitBps (-5) < gateMinNetBenefitBps (10),57509507209
2024-09-06,moved (10563598538) < minMove (10594868360),10563598538
2024-09-07,netBenefitBps (-6) < gateMinNetBenefitBps (10),32007652042
2024-09-08,netBenefitBps (-7) < gateMinNetBenefitBps (10),29324217202
2024-09-09,netBenefitBps (-7) < gateMinNetBenefitBps (10),24765831842
2024-09-10,netBenefitBps (-6) < gateMinNetBenefitBps (10),52416828080
2024-09-11,netBenefitBps (-6) < gateMinNetBenefitBps (10),49772077883
2024-10-16,netBenefitBps (-6) < gateMinNetBenefitBps (10),60259799383
2024-10-17,netBenefitBps (-3) < gateMinNetBenefitBps (10),118886780991
2024-10-19,netBenefitBps (-1) < gateMinNetBenefitBps (10),171119672583
2024-10-20,netBenefitBps (1) < gateMinNetBenefitBps (10),172447364819
2024-10-23,netBenefitBps (-4) < gateMinNetBenefitBps (10),198293612141
2024-10-24,netBenefitBps (-5) < gateMinNetBenefitBps (10),130632600821
2024-10-25,netBenefitBps (2) < gateMinNetBenefitBps (10),188232697227
2024-10-27,netBenefitBps (0) < gateMinNetBenefitBps (10),221434738429
2024-10-30,netBenefitBps (0) < gateMinNetBenefitBps (10),33153655891
2024-10-31,moved (9860315085) < minMove (10679655568),9860315085
2024-11-01,netBenefitBps (4) < gateMinNetBenefitBps (10),60098539748
2024-11-02,netBenefitBps (-8) < gateMinNetBenefitBps (10),32488156202
2024-11-03,netBenefitBps (-7) < gateMinNetBenefitBps (10),59323865704
2024-11-06,netBenefitBps (-6) < gateMinNetBenefitBps (10),63785349165
2024-11-07,netBenefitBps (-5) < gateMinNetBenefitBps (10),64842016514
2024-12-02,netBenefitBps (-5) < gateMinNetBenefitBps (10),181289988068
2024-12-06,netBenefitBps (0) < gateMinNetBenefitBps (10),107726185244
2024-12-07,netBenefitBps (-2) < gateMinNetBenefitBps (10),92760499611
2024-12-08,netBenefitBps (-5) < gateMinNetBenefitBps (10),205427465328
2024-12-09,netBenefitBps (-5) < gateMinNetBenefitBps (10),139563881009
2024-12-11,netBenefitBps (-6) < gateMinNetBenefitBps (10),90026182129
