date,sim_ts
2024-01-15,1209600
2024-01-29,2419200
2024-02-12,3628800
2024-02-26,4838400
2024-03-11,6048000
2024-03-25,7257600
2024-04-08,8467200
2024-04-22,9676800
2024-05-06,10886400
2024-05-20,12096000
2024-06-03,13305600
2024-06-17,14515200
2024-07-01,15724800
2024-07-15,16934400
2024-07-29,18144000
2024-08-12,19353600
2024-08-26,20563200
2024-09-09,21772800
2024-09-23,22982400
2024-10-07,24192000
2024-10-21,25401600
2024-11-04,26611200
2024-11-18,27820800
2024-12-02,29030400
2024-12-16,30240000
2024-12-30,31449600
2025-01-13,32659200
2025-01-27,33868800
2025-02-10,35078400
2025-02-24,36288000
2025-03-10,37497600
2025-03-24,38707200
2025-04-07,39916800
2025-04-21,41126400
2025-05-05,42336000
2025-05-19,43545600
2025-06-02,44755200
2025-06-16,45964800
2025-06-30,47174400
2025-07-14,48384000
2025-07-28,49593600
2025-08-11,50803200
2025-08-25,52012800
2025-09-08,53222400
2025-09-22,54432000
2025-10-06,55641600
2025-10-20,56851200
2025-11-03,58060800
2025-11-17,59270400
2025-12-01,60480000
2025-12-15,61689600
2025-12-29,62899200
2026-01-12,64108800
2026-01-26,65318400
2026-02-09,66528000
2026-02-23,67737600
2026-03-09,68947200
2026-03-23,70156800
2026-04-06,71366400
2026-04-20,72576000
2026-05-04,73785600
2026-05-18,74995200
