date,moved,action_count,move_cost,gross_benefit,net_benefit_bps,mandate_hit_adapter,mandate_type,targets
2024-01-02,125671551352,3,59268620,363586734,24,,,"{'aave_v3_usdc': 291019498639, 'compound_v3_usdc': 298979823948, 'dolomite_usdc': 260969675705}"
2024-01-03,61793939045,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291094594922, 'compound_v3_usdc': 269014312341, 'dolomite_usdc': 176598200000}"
2024-01-04,126146675347,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291256084072, 'compound_v3_usdc': 261255809233, 'dolomite_usdc': 207903569263}"
2024-01-05,102855861269,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291377292649, 'compound_v3_usdc': 263267186641, 'dolomite_usdc': 225546340000}"
2024-01-06,89535959395,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291520853460, 'compound_v3_usdc': 267404457932, 'dolomite_usdc': 213703150531}"
2024-01-07,100288365136,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291614431151, 'compound_v3_usdc': 253659773278, 'dolomite_usdc': 206154940194}"
2024-01-08,87108702466,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291682564804, 'compound_v3_usdc': 288332256271, 'dolomite_usdc': 214645118455}"
2024-01-09,84698427100,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291739993134, 'compound_v3_usdc': 297313441947, 'dolomite_usdc': 235544443553}"
2024-01-10,79158355795,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291808208305, 'compound_v3_usdc': 286450500726, 'dolomite_usdc': 255257886677}"
2024-01-11,73352588526,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291884019244, 'compound_v3_usdc': 308495843216, 'dolomite_usdc': 249806390116}"
2024-01-12,195618664776,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 291963334499, 'compound_v3_usdc': 221051392391, 'dolomite_usdc': 48892850000}"
2024-01-13,272198047813,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292068805477, 'compound_v3_usdc': 254682743936, 'dolomite_usdc': 236914180405}"
2024-01-14,97795228152,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292170074063, 'compound_v3_usdc': 257281604001, 'dolomite_usdc': 208777695050}"
2024-01-15,155325182197,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292249803873, 'compound_v3_usdc': 232316632474, 'dolomite_usdc': 118863315000}"
2024-01-16,164990882506,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292365706668, 'compound_v3_usdc': 237332255271, 'dolomite_usdc': 143501800000}"
2024-01-17,176294330707,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292489256188, 'compound_v3_usdc': 253842992610, 'dolomite_usdc': 231649580000}"
2024-01-18,93421044776,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292623677515, 'compound_v3_usdc': 263916882965, 'dolomite_usdc': 211918015399}"
2024-01-19,140487379393,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292707665607, 'compound_v3_usdc': 311045572619, 'dolomite_usdc': 307725875369}"
2024-01-20,80919455463,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292781995351, 'compound_v3_usdc': 346141165323, 'dolomite_usdc': 225092379892}"
2024-01-21,75008487168,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292842875904, 'compound_v3_usdc': 292196882246, 'dolomite_usdc': 229389147309}"
2024-01-23,58031731859,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 370327665372, 'compound_v3_usdc': 292941265778, 'dolomite_usdc': 282024956690}"
2024-01-24,97866720468,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 292985373254, 'compound_v3_usdc': 243296996781, 'dolomite_usdc': 224465648107}"
2024-01-27,71222660110,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 375764146930, 'compound_v3_usdc': 293127163592, 'dolomite_usdc': 303734290347}"
2024-01-28,23224077154,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 385387603158, 'compound_v3_usdc': 293167523502, 'dolomite_usdc': 275967750340}"
2024-01-29,27471717065,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 396735130081, 'compound_v3_usdc': 272027867000, 'dolomite_usdc': 301002751727}"
2024-01-30,15871606627,2,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 376485958736, 'compound_v3_usdc': 293267744335, 'dolomite_usdc': 303406354965}"
2024-01-31,91636361967,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 293312782752, 'compound_v3_usdc': 271595431366, 'dolomite_usdc': 234193090967}"
2024-02-01,52837812825,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 376831935926, 'compound_v3_usdc': 293380149145, 'dolomite_usdc': 286783523086}"
2024-02-02,92630588735,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 293426680876, 'compound_v3_usdc': 262624028930, 'dolomite_usdc': 224904602348}"
2024-02-03,133494994950,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 293502336369, 'compound_v3_usdc': 334417483175, 'dolomite_usdc': 323219793693}"
2024-02-04,58699662018,3,0,0,0,dolomite_usdc,abs,"{'aave_v3_usdc': 363213056645, 'compound_v3_usdc': 356755935638, 'dolomite_usdc': 288754380032}"
2024-02-07,46292858324,2,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 390510914378, 'compound_v3_usdc': 293657142280, 'dolomite_usdc': 286650554880}"
2024-02-08,8577809088,2,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 398045199008, 'compound_v3_usdc': 293705266753, 'dolomite_usdc': 278419644652}"
2024-02-09,146213843398,3,0,0,0,dolomite_usdc,rel,"{'aave_v3_usdc': 369297034371, 'compound_v3_usdc': 335476775619, 'dolomite_usdc': 47474322000}"
2024-02-18,69084190051,3,36633676,123410206,12,,,"{'aave_v3_usdc': 447297329630, 'compound_v3_usdc': 329379923718, 'dolomite_usdc': 105704624800}"
