# Contract Runtime Sizes -- forge build --sizes (feature/v10.0-storage-initialize)
# EIP-170 hard limit: 24,576 B | Project 1KB-safety rule: 23,552 B
# Generated pre-Wave 2

Contract                                                 Runtime  EIPMargin   Status
------------------------------------------------------------------------------------------
CoreHarness                                               45,153    -20,577   BLOCKER
StrategyScoringModule                                     24,426        150   RED [proj-FAIL]
UsdcMultiLendingVault                                     23,992        584   RED [proj-FAIL]
StrategySettingsModule                                    22,670      1,906   YELLOW
StrategyRouter                                            22,144      2,432   YELLOW
MorphoUsdcMultiMarketAdapter                              21,904      2,672   YELLOW
DolomiteUsdcMultiMarketAdapter                            20,896      3,680   YELLOW
EulerUsdcMultiMarketAdapter                               19,420      5,156   GREEN
StrategyRebalancePlanModule                               18,893      5,683   GREEN
CometUsdcMultiMarketAdapter                               18,762      5,814   GREEN
StrategyAllocCalcModule                                   18,017      6,559   GREEN
CoreVault                                                 17,054      7,522   GREEN
QueueModule                                               15,673      8,903   GREEN
LiquidityOpsModule                                        15,573      9,003   GREEN
GlobalConfig                                              14,902      9,674   GREEN
StrategyRebalanceGateModule                               14,155     10,421   GREEN
StrategyParamsModule                                      13,995     10,581   GREEN
StrategyAdapterOpsModule                                  13,334     11,242   GREEN
AaveV3USDCAdapter                                         13,074     11,502   GREEN
AdminModule                                               12,684     11,892   GREEN
BufferManager                                             12,086     12,490   GREEN
IncentivesEngine                                          11,882     12,694   GREEN
VenusUsdcMultiMarketAdapter                               10,890     13,686   GREEN
ERC4626Module                                             10,743     13,833   GREEN
StrategyExplainabilityLens                                 9,819     14,757   GREEN
StorageLayoutConsts                                        9,750     14,826   GREEN
StrategyStorageLayout                                      9,750     14,826   GREEN
SystemSealer                                               9,574     15,002   GREEN
RewardSwapHelper                                           9,239     15,337   GREEN
FixedMaturityModule                                        8,902     15,674   GREEN
FluidUsdcMultiMarketAdapter                                8,854     15,722   GREEN
StrategyUpkeep                                             8,716     15,860   GREEN
FeeCollector                                               7,240     17,336   GREEN
Incentives                                                 4,604     19,972   GREEN
EchidnaSafetyAdapterCapTier                                4,120     20,456   GREEN
SimpleProtocolRegistry                                     3,724     20,852   GREEN
SelectorRegistry                                           3,548     21,028   GREEN
StrategyHealthRegistry                                     3,098     21,478   GREEN
VaultFactory                                               2,891     21,685   GREEN
AdapterFactory                                             2,871     21,705   GREEN
StrategyBootstrapper                                       2,330     22,246   GREEN
ScoringMockAdapter                                         2,327     22,249   GREEN
AaveLiquidityRateProvider                                  2,272     22,304   GREEN
ERC20                                                      2,145     22,431   GREEN
StabilityMockAdapter                                       1,354     23,222   GREEN
BootstrapMockUSDC                                          1,276     23,300   GREEN
DolomiteSupplyRateProvider                                   786     23,790   GREEN
BootstrapMockAdapter                                         734     23,842   GREEN
StrategyConfigLibHarness                                     605     23,971   GREEN
Address                                                       57     24,519   GREEN
AllocationInvariantLib                                        57     24,519   GREEN
AllocationTypes                                               57     24,519   GREEN
AutomationBase                                                57     24,519   GREEN
CoreStorage                                                   57     24,519   GREEN
DeployTypes                                                   57     24,519   GREEN
Events                                                        57     24,519   GREEN
ExitEngineLib                                                 57     24,519   GREEN
ExitFeeLib                                                    57     24,519   GREEN
FeeStorage                                                    57     24,519   GREEN
FixedMaturityLogicLib                                         57     24,519   GREEN
FixedMaturityStorage                                          57     24,519   GREEN
FixedPoint                                                    57     24,519   GREEN
QueueLib                                                      57     24,519   GREEN
QueueStorage                                                  57     24,519   GREEN
SafeERC20                                                     57     24,519   GREEN
StrategyConfigLib                                             57     24,519   GREEN
WithdrawalCapLib                                              57     24,519   GREEN

Total: 67
BLOCKER: ['CoreHarness']
RED    : ['StrategyScoringModule', 'UsdcMultiLendingVault']
YELLOW : ['StrategySettingsModule', 'StrategyRouter', 'MorphoUsdcMultiMarketAdapter', 'DolomiteUsdcMultiMarketAdapter']
